case_id,case_created_timestamp,case_type,request_type,blocked_timestamp,blocked_sequence,
CASE001,01-01-2024 15:14:15,Online_Registration,Fund_Transfer,02-01-2024 15:14:15,4,
CASE002,02-01-2024 12:30:32,Complaint,Payment_Verification,07-01-2024 12:30:32,5,
CASE003,04-01-2024 12:00:52,Online_Registration,ID&V,06-01-2024 12:00:52,5,
CASE004,05-01-2024 15:49:49,Telephony_Registration,Change,16-01-2024 15:49:49,5,
CASE005,05-01-2024 17:12:55,Online_Registration,Account_Check,19-01-2024 17:12:55,1,
CASE006,06-01-2024 10:45:33,Complaint,Account_Check,17-01-2024 10:45:33,3,
CASE007,07-01-2024 09:37:52,Account_Trace,Account_Check,21-01-2024 09:37:52,3,
CASE008,07-01-2024 16:51:45,Online_Registration,Other,19-01-2024 16:51:45,5,
CASE009,08-01-2024 09:17:00,Online_Registration,ID&V,15-01-2024 09:17:00,3,
CASE010,08-01-2024 15:08:30,Telephony_Registration,Payment_Verification,09-01-2024 15:08:30,1,
CASE011,09-01-2024 10:09:42,Change_of_Detail,Change,14-01-2024 10:09:42,3,
CASE012,10-01-2024 09:44:30,Change_of_Detail,Other,17-01-2024 09:44:30,4,
CASE013,10-01-2024 10:39:39,Account_Query,Fund_Transfer,14-01-2024 10:39:39,1,
CASE014,11-01-2024 09:37:00,Account_Trace,Payment_Verification,22-01-2024 09:37:00,2,
CASE015,12-01-2024 16:07:15,Telephony_Registration,Fund_Transfer,14-01-2024 16:07:15,3,
CASE016,13-01-2024 13:15:36,Complaint,Payment,27-01-2024 13:15:36,4,
CASE017,14-01-2024 10:17:37,Sales_Application,Account_Check,24-01-2024 10:17:37,3,
CASE018,15-01-2024 16:55:03,Change_of_Detail,ID&V,21-01-2024 16:55:03,3,
CASE019,15-01-2024 17:05:08,Change_of_Detail,Account_Check,22-01-2024 17:05:08,3,
CASE020,16-01-2024 16:45:50,Online_Registration,Payment,22-01-2024 16:45:50,5,
CASE021,16-01-2024 17:42:09,Telephony_Registration,Withdrawl,21-01-2024 17:42:09,2,
CASE022,17-01-2024 14:49:03,Online_Registration,Other,20-01-2024 14:49:03,3,
CASE023,17-01-2024 17:49:21,Subject_Access_Request,ID&V,19-01-2024 17:49:21,1,
CASE024,18-01-2024 15:18:09,Change_of_Detail,Other,01-02-2024 15:18:09,1,
CASE025,18-01-2024 17:48:03,Account_Query,Withdrawl,20-01-2024 17:48:03,3,
CASE026,19-01-2024 09:18:09,Change_of_Detail,Account_Check,30-01-2024 09:18:09,3,
CASE027,19-01-2024 14:56:33,Account_Trace,Other,25-01-2024 14:56:33,2,
