Customer ID,Contact Date,Contact Channel,Number of JTBD,Interaction competence rating,Level of Support,Support Service Used,Deflection Provided,Digicare Case Open,Average CSAT,Deflection,JTBD,CSAT group
Cust001,01/01/2024,Phone,4,Do it myself,Self help,Assisted digital,Yes,No,1,Other,Digital,Digicare
Cust002,02/01/2024,Phone,3,Do it myself,Assisted digital,Self help,No,Yes,5,no deflection,Non-digital,Book
Cust003,03/01/2024,Phone,3,Do it with me,Digicare,Digicare,No,No,3,screen share,Non-digital,Digicare
Cust004,04/01/2024,Phone,4,Do it with me,Self help,Digicare,No,No,2,no deflection,Digital,Digicare
Cust005,05/01/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,No,No,1,no deflection,Digital,Campaign
Cust006,06/01/2024,Phone,4,Refer to Digicare,Digicare,Assisted digital,No,No,2,screen share,Digital,Libraries Connected
Cust007,07/01/2024,Phone,3,Do it myself,Self help,Assisted digital,No,No,3,no deflection,Digital,Digicare
Cust008,08/01/2024,Phone,1,Do it with me,Assisted digital,Self help,Yes,No,2,screen share,Non-digital,Digicare
Cust009,09/01/2024,Webchat,2,Do it with me,Digicare,Digicare,Yes,No,3,Other,Digital,Digicare
Cust010,10/01/2024,Webchat,4,Refer to Digicare,Self help,Libraries Connected,No,Yes,5,no deflection,Digital,Libraries Connected
Cust011,11/01/2024,Phone,3,Do it myself,Assisted digital,Assisted digital,No,No,2,no deflection,Digital,Book
Cust012,12/01/2024,Webchat,4,Do it myself,Digicare,Self help,No,No,2,no deflection,Non-digital,Digicare
Cust013,13/01/2024,Webchat,3,Do it myself,Self help,Assisted digital,No,No,4,Other,Non-digital,Libraries Connected
Cust014,14/01/2024,Phone,1,Do it myself,Assisted digital,Digicare,No,Yes,3,no deflection,Digital,Book
Cust015,15/01/2024,Phone,4,Do it myself,Digicare,Digicare,No,No,3,screen share,Digital,Digicare
Cust016,16/01/2024,Phone,1,Do it with me,Self help,Libraries Connected,No,No,4,no deflection,Digital,Digicare
Cust017,17/01/2024,Phone,1,Refer to Digicare,Assisted digital,Assisted digital,Yes,No,3,Other,Digital,Book
Cust018,18/01/2024,Webchat,3,Do it with me,Digicare,Libraries Connected,Yes,No,5,no deflection,Digital,Book
Cust019,19/01/2024,Social Media,1,Do it with me,Self help,Self help,No,No,4,screen share,Non-digital,Campaign
Cust020,20/01/2024,Social Media,1,Do it with me,Assisted digital,Assisted digital,No,No,4,no deflection,Non-digital,Libraries Connected
Cust021,21/01/2024,Social Media,4,Do it myself,Digicare,Digicare,Yes,No,1,no deflection,Digital,Book
Cust022,22/01/2024,Social Media,1,Do it with me,Self help,Libraries Connected,Yes,No,3,no deflection,Digital,Digicare
Cust023,23/01/2024,Social Media,3,Do it with me,Assisted digital,Self help,No,No,2,no deflection,Digital,Libraries Connected
Cust024,24/01/2024,Social Media,4,Do it with me,Digicare,Self help,Yes,No,3,no deflection,Digital,Book
Cust025,25/01/2024,Social Media,1,Refer to Digicare,Self help,Libraries Connected,Yes,No,1,Other,Digital,Campaign
Cust026,26/01/2024,Social Media,1,Do it with me,Assisted digital,Self help,No,No,3,self help resources,Digital,Digicare
Cust027,27/01/2024,Social Media,4,Do it myself,Digicare,Self help,Yes,Yes,3,screen share,Non-digital,Digicare
Cust028,28/01/2024,Webchat,1,Do it myself,Self help,Assisted digital,Yes,Yes,3,no deflection,Non-digital,Book
Cust029,29/01/2024,Phone,2,Do it myself,Assisted digital,Assisted digital,No,No,5,no deflection,Digital,Digicare
Cust030,30/01/2024,Webchat,2,Do it with me,Digicare,Assisted digital,No,No,2,screen share,Non-digital,Book
Cust031,31/01/2024,Webchat,3,Refer to Digicare,Self help,Assisted digital,Yes,No,3,screen share,Digital,Digicare
Cust032,01/02/2024,Phone,2,Do it with me,Assisted digital,Libraries Connected,No,No,5,screen share,Non-digital,Book
Cust033,02/02/2024,Phone,1,Do it myself,Digicare,Libraries Connected,No,No,1,no deflection,Digital,Book
Cust034,03/02/2024,Phone,1,Do it with me,Self help,Self help,Yes,Yes,5,screen share,Non-digital,Libraries Connected
Cust035,04/02/2024,Phone,1,Do it with me,Assisted digital,Libraries Connected,Yes,Yes,3,no deflection,Digital,Libraries Connected
Cust036,05/02/2024,Webchat,3,Refer to Digicare,Digicare,Libraries Connected,Yes,No,2,no deflection,Non-digital,Digicare
Cust037,06/02/2024,Phone,2,Do it myself,Self help,Libraries Connected,No,No,4,Other,Non-digital,Libraries Connected
Cust038,07/02/2024,Phone,1,Do it with me,Assisted digital,Assisted digital,Yes,No,1,no deflection,Non-digital,Libraries Connected
Cust039,08/02/2024,Phone,3,Do it myself,Digicare,Libraries Connected,No,No,4,screen share,Non-digital,Libraries Connected
Cust040,09/02/2024,Webchat,1,Do it myself,Self help,Self help,No,No,5,no deflection,Non-digital,Campaign
Cust041,10/02/2024,Phone,4,Do it myself,Assisted digital,Libraries Connected,Yes,No,4,Other,Digital,Libraries Connected
Cust042,11/02/2024,Webchat,4,Do it myself,Digicare,Assisted digital,No,No,2,screen share,Non-digital,Digicare
Cust043,12/02/2024,Webchat,2,Do it myself,Self help,Libraries Connected,No,No,2,no deflection,Non-digital,Digicare
Cust044,13/02/2024,Phone,1,Do it with me,Assisted digital,Self help,No,Yes,1,no deflection,Non-digital,Digicare
Cust045,14/02/2024,Phone,1,Refer to Digicare,Digicare,Assisted digital,Yes,No,1,screen share,Digital,Campaign
Cust046,15/02/2024,Webchat,4,Do it myself,Self help,Self help,Yes,No,5,self help resources,Digital,Digicare
Cust047,16/02/2024,Phone,3,Do it with me,Assisted digital,Digicare,Yes,No,2,screen share,Digital,Campaign
Cust048,17/02/2024,Phone,3,Refer to Digicare,Digicare,Libraries Connected,No,No,1,Other,Digital,Digicare
Cust049,18/02/2024,Phone,3,Refer to Digicare,Self help,Libraries Connected,No,No,5,no deflection,Non-digital,Campaign
Cust050,19/02/2024,Phone,4,Do it myself,Assisted digital,Self help,Yes,No,5,Other,Digital,Campaign
Cust051,20/02/2024,Webchat,1,Refer to Digicare,Digicare,Digicare,Yes,No,4,screen share,Non-digital,Libraries Connected
Cust052,21/02/2024,Webchat,3,Do it myself,Self help,Libraries Connected,Yes,No,4,no deflection,Non-digital,Libraries Connected
Cust053,22/02/2024,Phone,4,Do it with me,Assisted digital,Digicare,No,No,3,screen share,Digital,Book
Cust054,23/02/2024,Phone,4,Do it myself,Digicare,Self help,No,No,1,screen share,Digital,Campaign
Cust055,24/02/2024,Phone,4,Do it myself,Self help,Assisted digital,No,No,4,no deflection,Digital,Book
Cust056,25/02/2024,Phone,2,Do it with me,Assisted digital,Assisted digital,No,No,5,no deflection,Non-digital,Libraries Connected
Cust057,26/02/2024,Webchat,3,Do it myself,Digicare,Self help,Yes,No,3,screen share,Non-digital,Digicare
Cust058,27/02/2024,Webchat,1,Do it with me,Self help,Libraries Connected,No,No,3,Other,Non-digital,Campaign
Cust059,28/02/2024,Webchat,2,Do it with me,Assisted digital,Digicare,No,Yes,1,screen share,Digital,Book
Cust060,29/02/2024,Phone,1,Do it with me,Digicare,Assisted digital,Yes,No,1,Other,Digital,Digicare
Cust061,01/03/2024,Phone,3,Do it with me,Self help,Libraries Connected,Yes,No,3,no deflection,Digital,Book
Cust062,02/03/2024,Phone,2,Do it with me,Assisted digital,Assisted digital,No,No,4,no deflection,Digital,Libraries Connected
Cust063,03/03/2024,Phone,2,Do it with me,Digicare,Digicare,No,No,1,self help resources,Non-digital,Libraries Connected
Cust064,04/03/2024,Phone,4,Do it with me,Self help,Digicare,Yes,Yes,3,screen share,Digital,Book
Cust065,05/03/2024,Webchat,1,Do it with me,Assisted digital,Libraries Connected,No,Yes,5,no deflection,Non-digital,Campaign
Cust066,06/03/2024,Phone,4,Do it myself,Digicare,Digicare,No,No,3,screen share,Non-digital,Digicare
Cust067,07/03/2024,Phone,2,Refer to Digicare,Self help,Digicare,No,No,2,screen share,Digital,Libraries Connected
Cust068,08/03/2024,Phone,1,Do it myself,Assisted digital,Self help,Yes,No,2,screen share,Non-digital,Campaign
Cust069,09/03/2024,Phone,3,Do it myself,Digicare,Digicare,Yes,Yes,4,screen share,Non-digital,Campaign
Cust070,10/03/2024,Phone,4,Do it with me,Self help,Assisted digital,Yes,No,1,screen share,Non-digital,Digicare
Cust071,11/03/2024,Phone,1,Do it myself,Assisted digital,Self help,No,No,3,Other,Digital,Libraries Connected
Cust072,12/03/2024,Webchat,4,Do it with me,Digicare,Libraries Connected,No,No,5,no deflection,Digital,Digicare
Cust073,13/03/2024,Phone,4,Do it with me,Self help,Self help,Yes,No,3,self help resources,Non-digital,Campaign
Cust074,14/03/2024,Phone,2,Do it with me,Assisted digital,Libraries Connected,Yes,No,1,no deflection,Digital,Campaign
Cust075,15/03/2024,Phone,1,Do it with me,Digicare,Assisted digital,No,Yes,3,no deflection,Non-digital,Digicare
