Customer ID,Confidence Level,Persona assigned,Registered for digital services,Date of last log in,Date of last log in 2,Persona Name,Persona Nickname
Cust001,8,Do it myself,No,01/01/2024,once in last month,Confident,Self-Serve Sam 1
Cust002,6,Do it with me,Yes,02/01/2024,once in 6 months,Task specific,Learning Lerato 2
Cust003,7,Do it with me,Yes,03/01/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust004,6,Do it with me,Yes,04/01/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust005,9,Do it myself,Yes,05/01/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust006,6,Do it with me,No,06/01/2024,once in 6 months,Task specific,Learning Lerato 2
Cust007,3,Do it with me,Yes,07/01/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust008,7,Do it with me,No,08/01/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust009,3,Do it with me,Yes,09/01/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust010,5,Do it with me,Yes,10/01/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust011,8,Do it myself,No,11/01/2024,once in last month,Confident,Self-Serve Sam 1
Cust012,3,Do it with me,No,12/01/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust013,8,Do it myself,Yes,13/01/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust014,5,Do it with me,Yes,14/01/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust015,5,Do it with me,Yes,15/01/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust016,4,Do it with me,Yes,16/01/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust017,4,Do it with me,Yes,17/01/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust018,9,Do it myself,Yes,18/01/2024,once in last month,Expert,Self-Serve Sam 2
Cust019,5,Do it with me,Yes,19/01/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust020,4,Do it with me,Yes,20/01/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust021,6,Do it with me,No,21/01/2024,once in 12 months,Task specific,Learning Lerato 2
Cust022,9,Do it myself,Yes,22/01/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust023,8,Do it myself,Yes,23/01/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust024,8,Do it myself,Yes,24/01/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust025,8,Do it myself,No,25/01/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust026,9,Do it myself,Yes,26/01/2024,once in last month,Expert,Self-Serve Sam 2
Cust027,8,Do it myself,Yes,27/01/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust028,1,Do it for me,Yes,28/01/2024,once in 6 months,Never have never will,Digiphobe Doris 1
Cust029,9,Do it myself,Yes,29/01/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust030,8,Do it myself,Yes,30/01/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust031,4,Do it with me,No,31/01/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust032,8,Do it myself,Yes,01/02/2024,once in last month,Confident,Self-Serve Sam 1
Cust033,4,Do it with me,No,02/02/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust034,8,Do it myself,Yes,03/02/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust035,8,Do it myself,No,04/02/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust036,5,Do it with me,No,05/02/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust037,8,Do it myself,No,06/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust038,8,Do it myself,Yes,07/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust039,6,Do it with me,No,08/02/2024,once in last month,Task specific,Learning Lerato 2
Cust040,9,Do it myself,Yes,09/02/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust041,4,Do it with me,No,10/02/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust042,8,Do it myself,Yes,11/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust043,4,Do it with me,Yes,12/02/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust044,7,Do it with me,No,13/02/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust045,4,Do it with me,Yes,14/02/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust046,7,Do it with me,No,15/02/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust047,8,Do it myself,Yes,16/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust048,7,Do it with me,No,17/02/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust049,5,Do it with me,No,18/02/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust050,9,Do it myself,Yes,19/02/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust051,8,Do it myself,Yes,20/02/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust052,3,Do it with me,Yes,21/02/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust053,3,Do it with me,No,22/02/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust054,9,Do it myself,Yes,23/02/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust055,8,Do it myself,Yes,24/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust056,7,Do it with me,Yes,25/02/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust057,5,Do it with me,Yes,26/02/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust058,8,Do it myself,Yes,27/02/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust059,8,Do it myself,Yes,28/02/2024,once in last month,Confident,Self-Serve Sam 1
Cust060,6,Do it with me,Yes,29/02/2024,once in 6 months,Task specific,Learning Lerato 2
Cust061,7,Do it with me,Yes,01/03/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust062,4,Do it with me,Yes,02/03/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust063,1,Do it for me,Yes,03/03/2024,once in last month,Never have never will,Digiphobe Doris 1
Cust064,8,Do it myself,Yes,04/03/2024,once in last month,Confident,Self-Serve Sam 1
Cust065,6,Do it with me,No,05/03/2024,once in 6 months,Task specific,Learning Lerato 2
Cust066,4,Do it with me,No,06/03/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust067,4,Do it with me,Yes,07/03/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust068,9,Do it myself,Yes,08/03/2024,once in last month,Expert,Self-Serve Sam 2
Cust069,8,Do it myself,Yes,09/03/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust070,9,Do it myself,Yes,10/03/2024,once in last month,Expert,Self-Serve Sam 2
Cust071,6,Do it with me,Yes,11/03/2024,once in 12 months,Task specific,Learning Lerato 2
Cust072,6,Do it with me,Yes,12/03/2024,once in last month,Task specific,Learning Lerato 2
Cust073,9,Do it myself,Yes,13/03/2024,once in last month,Expert,Self-Serve Sam 2
Cust074,9,Do it myself,Yes,14/03/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust075,9,Do it myself,Yes,15/03/2024,longer than 12 months,Expert,Self-Serve Sam 2
