Customer ID,Campaign ID,Campaign Channel,Date,Engagement Level,Engagement,Action Taken
Cust001,1,text,01/01/2024,2,Text/email opened,No action taken
Cust002,2,email,02/01/2024,1,Received Campaign,No action taken
Cust003,1,text,03/01/2024,3,Link clicked,No action taken
Cust004,1,text,04/01/2024,1,Received Campaign,No action taken
Cust005,2,text,05/01/2024,1,Received Campaign,No action taken
Cust006,3,text,06/01/2024,3,Link clicked,No action taken
Cust007,1,text,07/01/2024,1,Received Campaign,No action taken
Cust008,3,email,08/01/2024,3,Link clicked,No action taken
Cust009,3,email,09/01/2024,1,Received Campaign,No action taken
Cust010,1,email,10/01/2024,2,Text/email opened,No action taken
Cust011,1,text,11/01/2024,2,Text/email opened,No action taken
Cust012,3,email,12/01/2024,2,Text/email opened,No action taken
Cust013,2,text,13/01/2024,2,Text/email opened,No action taken
Cust014,2,email,14/01/2024,2,Text/email opened,No action taken
Cust015,2,text,15/01/2024,4,Action taken,complete a JTBD online
Cust016,1,text,16/01/2024,1,Received Campaign,No action taken
Cust017,1,text,17/01/2024,1,Received Campaign,No action taken
Cust018,3,email,18/01/2024,4,Action taken,complete a JTBD online
Cust019,3,email,19/01/2024,2,Text/email opened,No action taken
Cust020,1,email,20/01/2024,4,Action taken,contact us on webchat
Cust021,1,text,21/01/2024,1,Received Campaign,No action taken
Cust022,2,email,22/01/2024,1,Received Campaign,No action taken
Cust023,2,text,23/01/2024,2,Text/email opened,No action taken
Cust024,2,email,24/01/2024,4,Action taken,contact us on webchat
Cust025,3,text,25/01/2024,2,Text/email opened,No action taken
Cust026,1,email,26/01/2024,1,Received Campaign,No action taken
Cust027,1,email,27/01/2024,4,Action taken,contact us on webchat
Cust028,3,text,28/01/2024,2,Text/email opened,No action taken
Cust029,1,text,29/01/2024,2,Text/email opened,No action taken
Cust030,3,email,30/01/2024,2,Text/email opened,No action taken
Cust031,3,text,31/01/2024,2,Text/email opened,No action taken
Cust032,2,email,01/02/2024,2,Text/email opened,No action taken
Cust033,1,email,02/02/2024,1,Received Campaign,No action taken
Cust034,3,email,03/02/2024,1,Received Campaign,No action taken
Cust035,1,text,04/02/2024,1,Received Campaign,No action taken
Cust036,3,text,05/02/2024,1,Received Campaign,No action taken
Cust037,2,text,06/02/2024,3,Link clicked,No action taken
Cust038,3,text,07/02/2024,1,Received Campaign,No action taken
Cust039,3,text,08/02/2024,4,Action taken,engage with self-help material
Cust040,1,email,09/02/2024,1,Received Campaign,No action taken
Cust041,1,email,10/02/2024,1,Received Campaign,No action taken
Cust042,1,email,11/02/2024,4,Action taken,log in to digital channels
Cust043,3,text,12/02/2024,1,Received Campaign,No action taken
Cust044,2,email,13/02/2024,1,Received Campaign,No action taken
Cust045,3,email,14/02/2024,1,Received Campaign,No action taken
Cust046,3,text,15/02/2024,1,Received Campaign,No action taken
Cust047,3,text,16/02/2024,3,Link clicked,No action taken
Cust048,1,text,17/02/2024,3,Link clicked,No action taken
Cust049,1,text,18/02/2024,1,Received Campaign,No action taken
