Customer ID,Digicare Case ID,Date Case Opened,Date Case Closed,Level of Digicare support,Correct digicare Referral,Outcome,average log-ins to digital channels per month,average use of self-help resources per month,Open Case Categories,Digicare Referrals,Digicare Impact,Closed Case Categories
Cust006,Digi001,07/10/2024,28/10/2024,1,Yes,no change,2,2,awaiting f2f coaching,required a remote coaching session,log in to digital channels,In-person Coaching
Cust010,Digi002,30/04/2024,14/05/2024,2,No,new engagement (self help),2,2,awaiting triage,required a device,No coaching Referral,In-person Coaching
Cust017,Digi003,14/02/2024,29/02/2024,3,Yes,new engagement (self help),1,2,awaiting telephony coaching,required a f2f coaching session,complete a JTBD online,Telephony Coaching
Cust025,Digi004,25/02/2024,18/03/2024,1,Yes,new engagement (self help),1,2,awaiting device & data,didn’t need Digicare,No coaching Referral,In-person Coaching
Cust031,Digi005,08/04/2024,30/04/2024,2,Yes,no change,2,1,awaiting triage,required a device,No coaching Referral,Telephony Coaching
Cust036,Digi006,16/06/2024,03/07/2024,3,Yes,new engagement (self help),0,0,awaiting triage,only required a triage session,No coaching Referral,In-person Coaching
Cust045,Digi007,24/11/2024,22/12/2024,1,Yes,new engagement (self help),2,1,awaiting telephony coaching,required a f2f coaching session,complete a JTBD online,Triage
Cust048,Digi008,02/10/2024,15/10/2024,2,Yes,new engagement (self help),0,1,awaiting telephony coaching,only required a triage session,No coaching Referral,Triage
Cust049,Digi009,08/01/2024,09/01/2024,3,Yes,new engagement (self help),1,0,awaiting f2f coaching,required a data SIM,No coaching Referral,Telephony Coaching
Cust051,Digi010,28/11/2024,19/12/2024,1,Yes,new engagement (self help),2,2,awaiting f2f coaching,required a f2f coaching session,contact us by phone,Triage
Cust067,Digi011,02/02/2024,02/03/2024,2,No,new engagement (self help),0,0,awaiting f2f coaching,required a f2f coaching session,engage with self-help material,Triage
Cust081,Digi012,26/03/2024,13/04/2024,3,Yes,new engagement (self help),2,2,awaiting f2f coaching,only required a triage session,No coaching Referral,In-person Coaching
Cust084,Digi013,29/08/2024,17/09/2024,1,Yes,no change,0,1,awaiting telephony coaching,only required a triage session,No coaching Referral,In-person Coaching
Cust089,Digi014,05/09/2024,11/09/2024,2,No,new engagement (self help),1,0,awaiting device & data,only required a triage session,No coaching Referral,Telephony Coaching
Cust095,Digi015,24/09/2024,11/10/2024,3,Yes,no change,2,0,awaiting f2f coaching,required a data SIM,No coaching Referral,Triage
Cust102,Digi016,17/06/2024,06/07/2024,1,No,new engagement (self help),2,0,awaiting f2f coaching,required a remote coaching session,contact us by phone,Telephony Coaching
Cust127,Digi017,15/10/2024,18/10/2024,2,Yes,no change,2,0,awaiting telephony coaching,required a remote coaching session,contact us by phone,Triage
Cust140,Digi018,24/11/2024,01/12/2024,3,Yes,new engagement (self help),0,1,awaiting telephony coaching,required a f2f coaching session,engage with self-help material,Telephony Coaching
Cust150,Digi019,22/06/2024,08/07/2024,1,Yes,no change,0,0,awaiting f2f coaching,didn’t need Digicare,No coaching Referral,Telephony Coaching
Cust151,Digi020,31/05/2024,25/06/2024,2,Yes,no change,0,0,awaiting device & data,required a remote coaching session,contact us on webchat,Triage
