Customer ID,Digicare Case ID,Date Case Opened,Date Case Closed,average log-ins to digital channels per month,Open Case Categories,Digicare Referrals,Digicare Impact,Date logged in,
Cust020,Digi064,27/04/2024,14/05/2024,0,awaiting f2f coaching,required a f2f coaching session,log in to digital channels,,
Cust024,Digi099,28/10/2024,16/11/2024,0,awaiting f2f coaching,didn’t need Digicare,No coaching Referral,,
Cust033,Digi067,19/02/2024,08/03/2024,0,awaiting telephony coaching,required a data SIM,No coaching Referral,,
Cust036,Digi006,16/06/2024,03/07/2024,0,awaiting triage,only required a triage session,No coaching Referral,,
Cust037,Digi100,03/02/2024,21/02/2024,0,awaiting device & data,required a f2f coaching session,contact us by phone,,
Cust049,Digi009,08/01/2024,09/01/2024,0,awaiting f2f coaching,required a data SIM,No coaching Referral,,
Cust059,Digi102,20/05/2024,14/06/2024,0,awaiting telephony coaching,required a remote coaching session,log in to digital channels,,
Cust067,Digi011,02/02/2024,02/03/2024,0,awaiting f2f coaching,required a f2f coaching session,engage with self-help material,,
Cust089,Digi014,05/09/2024,11/09/2024,0,awaiting device & data,only required a triage session,No coaching Referral,,
Cust095,Digi015,24/09/2024,11/10/2024,0,awaiting f2f coaching,required a data SIM,No coaching Referral,,
Cust102,Digi016,17/06/2024,06/07/2024,0,awaiting f2f coaching,required a remote coaching session,contact us by phone,,
Cust109,Digi073,14/03/2024,17/03/2024,0,awaiting f2f coaching,required a data SIM,No coaching Referral,,
Cust114,Digi074,07/09/2024,05/10/2024,0,awaiting triage,required a f2f coaching session,engage with self-help material,,
Cust122,Digi109,26/06/2024,01/07/2024,0,awaiting triage,didn’t need Digicare,No coaching Referral,,
Cust127,Digi017,15/10/2024,18/10/2024,0,awaiting telephony coaching,required a remote coaching session,contact us by phone,,
Cust150,Digi019,22/06/2024,08/07/2024,0,awaiting f2f coaching,didn’t need Digicare,No coaching Referral,,
Cust151,Digi020,31/05/2024,25/06/2024,0,awaiting device & data,required a remote coaching session,contact us on webchat,,
Cust168,Digi078,30/04/2024,09/05/2024,0,awaiting triage,required a f2f coaching session,log in to digital channels,,
Cust188,Digi027,02/07/2024,12/07/2024,0,awaiting triage,required a f2f coaching session,contact us by phone,,
Cust188,Digi080,01/07/2024,16/07/2024,0,awaiting f2f coaching,only required a triage session,No coaching Referral,,
Cust205,Digi084,16/08/2024,11/09/2024,0,awaiting telephony coaching,required a device,No coaching Referral,,
Cust217,Digi031,13/11/2024,08/12/2024,0,awaiting device & data,required a remote coaching session,engage with self-help material,,
Cust227,Digi085,17/09/2024,16/10/2024,0,awaiting triage,required a device,No coaching Referral,,
Cust249,Digi086,15/12/2024,13/01/2025,0,awaiting triage,didn’t need Digicare,No coaching Referral,,
Cust263,Digi036,09/07/2024,08/08/2024,0,awaiting triage,only required a triage session,No coaching Referral,,
Cust293,Digi038,25/10/2024,14/11/2024,0,awaiting triage,required a device,No coaching Referral,,
Cust312,Digi087,01/06/2024,11/06/2024,0,awaiting device & data,only required a triage session,No coaching Referral,,
Cust314,Digi040,29/09/2024,26/10/2024,0,awaiting device & data,only required a triage session,No coaching Referral,,
Cust356,Digi127,11/09/2024,27/09/2024,0,awaiting telephony coaching,didn’t need Digicare,No coaching Referral,,
Cust356,Digi090,15/09/2024,27/09/2024,0,awaiting device & data,required a device,No coaching Referral,,
Cust430,Digi054,19/02/2024,09/03/2024,0,awaiting triage,didn’t need Digicare,No coaching Referral,,
Cust461,Digi133,02/04/2024,09/04/2024,0,awaiting f2f coaching,only required a triage session,No coaching Referral,,
Cust466,Digi059,29/08/2024,17/09/2024,0,awaiting triage,required a f2f coaching session,log in to digital channels,,
Cust467,Digi060,08/06/2024,17/06/2024,0,awaiting telephony coaching,didn’t need Digicare,No coaching Referral,,
Cust478,Digi135,19/05/2024,23/05/2024,0,awaiting f2f coaching,only required a triage session,No coaching Referral,,
Cust479,Digi136,05/12/2024,08/12/2024,0,awaiting device & data,required a f2f coaching session,contact us by phone,,
Cust481,Digi061,27/06/2024,11/07/2024,0,awaiting telephony coaching,didn’t need Digicare,No coaching Referral,,
Cust489,Digi137,21/05/2024,28/05/2024,0,awaiting f2f coaching,required a f2f coaching session,engage with self-help material,,
Cust015,Digi063,26/10/2024,19/11/2024,1,awaiting telephony coaching,required a remote coaching session,contact us by phone,27/11/2024,242
Cust031,Digi005,08/04/2024,30/04/2024,1,awaiting triage,required a device,No coaching Referral,25/07/2024,162
Cust045,Digi007,24/11/2024,22/12/2024,1,awaiting telephony coaching,required a f2f coaching session,complete a JTBD online,28/12/2024,307
Cust048,Digi008,02/10/2024,15/10/2024,1,awaiting telephony coaching,only required a triage session,No coaching Referral,31/07/2025,180
Cust070,Digi068,14/06/2024,15/06/2024,1,awaiting triage,required a data SIM,No coaching Referral,13/10/2024,346
Cust075,Digi069,11/03/2024,30/03/2024,1,awaiting f2f coaching,required a data SIM,No coaching Referral,03/06/2024,187
Cust084,Digi013,29/08/2024,17/09/2024,1,awaiting telephony coaching,only required a triage session,No coaching Referral,12/01/2025,180
Cust100,Digi071,23/12/2024,02/01/2025,1,awaiting f2f coaching,required a device,No coaching Referral,17/10/2025,188
Cust101,Digi106,17/06/2024,04/07/2024,1,awaiting f2f coaching,required a f2f coaching session,contact us by phone,03/08/2024,51
Cust105,Digi072,25/01/2024,28/01/2024,1,awaiting triage,didn’t need Digicare,No coaching Referral,25/08/2024,239
Cust117,Digi075,19/10/2024,20/10/2024,1,awaiting triage,only required a triage session,No coaching Referral,17/02/2025,166
Cust134,Digi110,14/03/2024,06/04/2024,1,awaiting device & data,required a device,No coaching Referral,30/11/2024,355
Cust140,Digi018,24/11/2024,01/12/2024,1,awaiting telephony coaching,required a f2f coaching session,engage with self-help material,31/12/2024,164
Cust156,Digi022,15/12/2024,12/01/2025,1,awaiting triage,required a data SIM,No coaching Referral,05/08/2025,189
Cust163,Digi023,17/01/2024,04/02/2024,1,awaiting telephony coaching,didn’t need Digicare,No coaching Referral,13/04/2024,255
Cust167,Digi113,04/01/2024,01/02/2024,1,awaiting triage,required a data SIM,No coaching Referral,05/02/2024,172
Cust173,Digi026,29/05/2024,23/06/2024,1,awaiting triage,required a remote coaching session,log in to digital channels,20/11/2024,296
Cust175,Digi079,15/01/2024,28/01/2024,1,awaiting f2f coaching,only required a triage session,No coaching Referral,03/06/2024,114
Cust176,Digi114,07/10/2024,20/10/2024,1,awaiting triage,only required a triage session,No coaching Referral,13/07/2025,160
